id_img,category,glcm_contrast,glcm_dissimilarity,glcm_homogeneity,glcm_ASM,glcm_entropy,glcm_mean,glcm_variance,glcm_correlation,glcm_SA
1,non_demented,457.01674135364163,10.9805935286686,0.48980820089635385,0.18450329850190078,5.6562837891240205,69.28919583369807,7164.435988470591,0.9677804058654155,138.57839166739606
1,moderate_demented,457.01674135364163,10.9805935286686,0.48980820089635385,0.18450329850190078,5.6562837891240205,69.28919583369807,7164.435988470591,0.9677804058654155,138.57839166739606
1,very_mild_demented,457.01674135364163,10.9805935286686,0.48980820089635385,0.18450329850190078,5.6562837891240205,69.28919583369807,7164.435988470591,0.9677804058654155,138.57839166739606
1,mild_demented,457.01674135364163,10.9805935286686,0.48980820089635385,0.18450329850190078,5.6562837891240205,69.28919583369807,7164.435988470591,0.9677804058654155,138.57839166739606
2,non_demented,443.62386680261073,10.472768355303794,0.5009331708701908,0.19230096020180482,5.539264745385456,64.69037439413113,6557.769613104185,0.9660948249533838,129.38074878826228
2,moderate_demented,443.62386680261073,10.472768355303794,0.5009331708701908,0.19230096020180482,5.539264745385456,64.69037439413113,6557.769613104185,0.9660948249533838,129.38074878826228
2,very_mild_demented,443.62386680261073,10.472768355303794,0.5009331708701908,0.19230096020180482,5.539264745385456,64.69037439413113,6557.769613104185,0.9660948249533838,129.38074878826228
2,mild_demented,443.62386680261073,10.472768355303794,0.5009331708701908,0.19230096020180482,5.539264745385456,64.69037439413113,6557.769613104185,0.9660948249533838,129.38074878826228
3,non_demented,471.4780008267057,11.345092868359655,0.47562388886494134,0.17498625278075014,5.803335461220244,71.7688465353708,7075.477396573063,0.9664689055489016,143.5376930707415
3,moderate_demented,471.4780008267057,11.345092868359655,0.47562388886494134,0.17498625278075014,5.803335461220244,71.7688465353708,7075.477396573063,0.9664689055489016,143.5376930707415
3,very_mild_demented,471.4780008267057,11.345092868359655,0.47562388886494134,0.17498625278075014,5.803335461220244,71.7688465353708,7075.477396573063,0.9664689055489016,143.5376930707415
3,mild_demented,471.4780008267057,11.345092868359655,0.47562388886494134,0.17498625278075014,5.803335461220244,71.7688465353708,7075.477396573063,0.9664689055489016,143.5376930707415
4,non_demented,494.66639656893824,11.823822047791024,0.46148784963750406,0.1640665951451535,5.946826647706011,64.69074494060754,5906.027062429739,0.9580091874266969,129.38148988121503
4,moderate_demented,494.66639656893824,11.823822047791024,0.46148784963750406,0.1640665951451535,5.946826647706011,64.69074494060754,5906.027062429739,0.9580091874266969,129.38148988121503
4,very_mild_demented,494.66639656893824,11.823822047791024,0.46148784963750406,0.1640665951451535,5.946826647706011,64.69074494060754,5906.027062429739,0.9580091874266969,129.38148988121503
4,mild_demented,494.66639656893824,11.823822047791024,0.46148784963750406,0.1640665951451535,5.946826647706011,64.69074494060754,5906.027062429739,0.9580091874266969,129.38148988121503
5,non_demented,486.44027683492186,11.608230981461857,0.45991282102036224,0.1606196833578188,5.952039956300047,74.23952692442765,7226.233399265892,0.9662375411892489,148.47905384885522
5,moderate_demented,486.44027683492186,11.608230981461857,0.45991282102036224,0.1606196833578188,5.952039956300047,74.23952692442765,7226.233399265892,0.9662375411892489,148.47905384885522
5,very_mild_demented,486.44027683492186,11.608230981461857,0.45991282102036224,0.1606196833578188,5.952039956300047,74.23952692442765,7226.233399265892,0.9662375411892489,148.47905384885522
5,mild_demented,486.44027683492186,11.608230981461857,0.45991282102036224,0.1606196833578188,5.952039956300047,74.23952692442765,7226.233399265892,0.9662375411892489,148.47905384885522
6,non_demented,455.55310468907044,11.20674131242248,0.46245918011174636,0.16221502846053218,5.922166073923104,70.74073445776182,6614.932263622838,0.9648787041647615,141.4814689155236
6,moderate_demented,455.55310468907044,11.20674131242248,0.46245918011174636,0.16221502846053218,5.922166073923104,70.74073445776182,6614.932263622838,0.9648787041647615,141.4814689155236
6,very_mild_demented,455.55310468907044,11.20674131242248,0.46245918011174636,0.16221502846053218,5.922166073923104,70.74073445776182,6614.932263622838,0.9648787041647615,141.4814689155236
6,mild_demented,455.55310468907044,11.20674131242248,0.46245918011174636,0.16221502846053218,5.922166073923104,70.74073445776182,6614.932263622838,0.9648787041647615,141.4814689155236
7,non_demented,519.9781316135359,11.915946392762763,0.46066206302467855,0.16269701165334613,5.952093695886406,72.99621998065689,7055.688512815083,0.9627782629827147,145.99243996131372
7,moderate_demented,519.9781316135359,11.915946392762763,0.46066206302467855,0.16269701165334613,5.952093695886406,72.99621998065689,7055.688512815083,0.9627782629827147,145.99243996131372
7,very_mild_demented,519.9781316135359,11.915946392762763,0.46066206302467855,0.16269701165334613,5.952093695886406,72.99621998065689,7055.688512815083,0.9627782629827147,145.99243996131372
7,mild_demented,519.9781316135359,11.915946392762763,0.46066206302467855,0.16269701165334613,5.952093695886406,72.99621998065689,7055.688512815083,0.9627782629827147,145.99243996131372
8,non_demented,518.2777718825103,11.857227969137192,0.4619778250276242,0.16201742098446612,5.945581844224508,67.34873657347805,6350.999537955619,0.9588286156066437,134.6974731469561
8,moderate_demented,518.2777718825103,11.857227969137192,0.4619778250276242,0.16201742098446612,5.945581844224508,67.34873657347805,6350.999537955619,0.9588286156066437,134.6974731469561
8,very_mild_demented,518.2777718825103,11.857227969137192,0.4619778250276242,0.16201742098446612,5.945581844224508,67.34873657347805,6350.999537955619,0.9588286156066437,134.6974731469561
8,mild_demented,518.2777718825103,11.857227969137192,0.4619778250276242,0.16201742098446612,5.945581844224508,67.34873657347805,6350.999537955619,0.9588286156066437,134.6974731469561
